patent_id,wipo_field_id,wipo_sector_title,wipo_field_title
3930308,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930307,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930334,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930393,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930488,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930524,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930552,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930566,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930606,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930631,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930703,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930704,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930706,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930705,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930709,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930708,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930710,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930707,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930771,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930784,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930783,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930815,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930821,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930822,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930849,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930881,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930885,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930883,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930888,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930882,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930884,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930886,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930890,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930889,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930887,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930896,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930897,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930905,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930906,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930914,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930915,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930979,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930977,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3930982,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931027,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931042,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931055,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931108,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931418,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931436,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931442,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931446,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931451,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931456,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931455,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931481,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931486,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931487,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931484,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931483,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931488,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931495,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931496,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931511,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931516,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931517,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931519,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931530,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931536,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931535,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931537,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931539,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931534,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931541,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931544,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931542,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931543,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931540,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931548,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931546,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931551,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931554,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931553,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931552,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931547,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931557,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931558,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931559,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931555,1,Electrical engineering,"Electrical machinery, apparatus, energy"
3931556,1,Electrical engineering,"Electrical machinery, apparatus, energy"
